longditude;laditude;oni_coefficient_minus_zero_lag
311.25;-81.25;-0.05999999999999999778
313.75;-81.25;-0.05999999999999999778
316.25;-81.25;-0.07000000000000000666
318.75;-81.25;-0.07000000000000000666
321.25;-81.25;0.000000000000000000
323.75;-81.25;-0.01000000000000000021
326.25;-81.25;0.000000000000000000
328.75;-81.25;-0.02000000000000000042
331.25;-81.25;0.000000000000000000
333.75;-81.25;0.000000000000000000
336.25;-81.25;0.000000000000000000
338.75;-81.25;0.000000000000000000
341.25;-81.25;-0.04000000000000000083
343.75;-81.25;0.000000000000000000
346.25;-81.25;-0.04000000000000000083
348.75;-81.25;-0.05000000000000000278
351.25;-81.25;-0.05999999999999999778
353.75;-81.25;-0.05999999999999999778
356.25;-81.25;-0.05000000000000000278
358.75;-81.25;-0.05000000000000000278
1.25;-78.75;-0.02000000000000000042
3.75;-78.75;-0.01000000000000000021
6.25;-78.75;-0.02000000000000000042
8.75;-78.75;-0.02000000000000000042
11.25;-78.75;-0.01000000000000000021
13.75;-78.75;-0.01000000000000000021
16.25;-78.75;0.02000000000000000042
18.75;-78.75;0.02999999999999999889
21.25;-78.75;0.02000000000000000042
23.75;-78.75;0.02999999999999999889
26.25;-78.75;0.02999999999999999889
28.75;-78.75;0.02999999999999999889
31.25;-78.75;0.04000000000000000083
33.75;-78.75;0.05000000000000000278
36.25;-78.75;0.04000000000000000083
38.75;-78.75;0.04000000000000000083
41.25;-78.75;0.08000000000000000167
43.75;-78.75;0.05999999999999999778
46.25;-78.75;0.05999999999999999778
48.75;-78.75;0.04000000000000000083
51.25;-78.75;0.05000000000000000278
53.75;-78.75;0.02000000000000000042
56.25;-78.75;-0.02000000000000000042
58.75;-78.75;-0.01000000000000000021
61.25;-78.75;0.000000000000000000
63.75;-78.75;0.01000000000000000021
66.25;-78.75;0.000000000000000000
68.75;-78.75;0.01000000000000000021
71.25;-78.75;0.01000000000000000021
73.75;-78.75;0.01000000000000000021
76.25;-78.75;0.02999999999999999889
78.75;-78.75;0.02999999999999999889
81.25;-78.75;0.04000000000000000083
83.75;-78.75;0.02999999999999999889
86.25;-78.75;0.02000000000000000042
88.75;-78.75;0.02000000000000000042
91.25;-78.75;0.02999999999999999889
93.75;-78.75;0.05000000000000000278
96.25;-78.75;0.08000000000000000167
98.75;-78.75;0.08000000000000000167
101.25;-78.75;0.07000000000000000666
103.75;-78.75;0.05999999999999999778
106.25;-78.75;0.05000000000000000278
108.75;-78.75;0.02999999999999999889
111.25;-78.75;0.02999999999999999889
113.75;-78.75;0.02999999999999999889
116.25;-78.75;0.02000000000000000042
118.75;-78.75;0.02000000000000000042
121.25;-78.75;0.01000000000000000021
123.75;-78.75;0.01000000000000000021
126.25;-78.75;-0.01000000000000000021
128.75;-78.75;0.000000000000000000
131.25;-78.75;-0.02000000000000000042
133.75;-78.75;-0.02999999999999999889
136.25;-78.75;0.01000000000000000021
138.75;-78.75;0.01000000000000000021
141.25;-78.75;0.01000000000000000021
143.75;-78.75;0.02000000000000000042
146.25;-78.75;0.02999999999999999889
148.75;-78.75;0.05000000000000000278
151.25;-78.75;0.02999999999999999889
153.75;-78.75;0.02999999999999999889
156.25;-78.75;0.02000000000000000042
158.75;-78.75;0.08999999999999999667
161.25;-78.75;0.08999999999999999667
163.75;-78.75;-0.01000000000000000021
166.25;-78.75;0.08999999999999999667
168.75;-78.75;-0.02000000000000000042
